test,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcode,serial,category,faculty,location,location_barcode,user,make,model,item_status,purchase_value,current_value,notes,purchase_date,warranty_date,replacement_date,pat_status,pat_date,,,,,,,,,,
SPC1146,,FURN&EQ,Br Seaman Building,S105 Science,SPC9022,353,Projector Panasonic Shrt Throw,PT-ST10 with mounting beam,OK,1325,,,13-12-10,,13-08-17,PASS,01-10-14,,,,,,,,,,
SPC1147,,FURN&EQ,Br Seaman Building,S106 Science Bio,SPC9023,353,Projector Panasonic Shrt Throw,PT-ST10 with mounting beam,OK,1325,,Not Available,13-12-10,0000-00-00,13-08-17,PASS,07-10-14,,,,,,,,,,
SPC1148,3.01E+11,FIXED EQUP,Br Seaman Building,S201,SPC9024,353,Carpet,Chinese Grant S201,OK,5781.82,,,10-01-12,,10-01-15,,,,,,,,,,,,
SPC1149,,COMPUTERS,Br Seaman Building,S201,SPC9024,353,Projector,UBT880 IWB Projector Speakers,OK,4115,,,28-11-11,,,,,,,,,,,,,,
SPC1150,SMP04KVY5,FURN&EQ,Br Seaman Building,S101 Physics,SPC9175,353,Data Projector,VPLES4W 2200 ANSI,OK,3481.66,,Not Necessary for PAT test as per AS 3760,19-11-07,0000-00-00,0000-00-00,N/A,0000-00-00,,,,,,,,,,
SPC1151,,FURN&EQ,Br Seaman Building,S102 Science,SPC9021,353,Aluminium Park Seating,Seating,OK,825,,,18-11-11,,18-07-18,,,,,,,,,,,,
SPC1152,,BUILDINGS,Br Seaman Building,S102 Science,SPC9021,353,Buildings,Br GL Seaman Science Bld 2011,OK,96280.04,,,05-02-11,,05-10-17,,,,,,,,,,,,
SPC1153,,FURN&EQ,Br Seaman Building,S102 Science,SPC9021,353,Chair,Typist Tulip MB HCHA/FAB,OK,265,,,04-02-11,,04-10-17,,,,,,,,,,,,
SPC1154,,FURN&EQ,Br Seaman Building,S102 Science,SPC9021,353,Chair,Adam Sled Base LHS Tablet Chrome Frame,OK,88.18,,,04-02-11,,04-10-17,,,,,,,,,,,,
SPC1155,,FURN&EQ,Br Seaman Building,S102 Science,SPC9021,353,Chair,Adam Sled Base RHS Tablet Chrome Frame,OK,90.62,,,04-02-11,,,,,,,,,,,,,,
SPC1156,,FIXED EQUP,Br Seaman Building,S102 Science,SPC9021,353,Data Cabling,Cabling,OK,7650,,,01-01-97,,01-09-03,,,,,,,,,,,,
SPC1157,,FURN&EQ,Br Seaman Building,S102 Science,SPC9021,353,Student Desks,F Rec 1200x600x710x18mm Black ripple,OK,91.36,,,04-02-11,,04-10-17,,,,,,,,,,,,
SPC1158,,FURN&EQ,Br Seaman Building,Science Anthea Ford Rm,SPC9173,353,Dishwasher,Samsung DMS500TRW,OK,521.82,,,04-02-11,,04-10-17,N/A,01-10-14,,,,,,,,,,
SPC1159,,FURN&EQ,Br Seaman Building,S102 Science,SPC9021,353,Fire Extinguishers,CO2x7,OK,209.29,,,04-02-11,,,,,,,,,,,,,,
SPC1160,,FURN&EQ,Br Seaman Building,S102 Science,SPC9021,353,Fire blankets & signage,Fire Systems,OK,87,,,04-02-11,,,,,,,,,,,,,,
SPC1162,,FURN&EQ,Br Seaman Building,S108 Science Office,SPC9193,353,Cupboard,Fume cupboard,OK,2000,,,26-04-07,,26-12-13,,,,,,,,,,,,
